date,equity,bond_long,commodity,gold,usd
2020-12-31,-0.0035,-0.0137,-0.0074,-0.0018,0.0004
2021-01-31,0.0153,0.0059,-0.0043,-0.0029,0.0032
2021-02-28,0.0181,0.0019,-0.0069,-0.0108,-0.0163
2021-03-31,0.0115,0.0064,0.0038,-0.0021,0.0125
2021-04-30,-0.0007,0.0102,-0.0021,-0.0068,0.0046
2021-05-31,0.0074,0.0043,-0.0006,-0.0009,0.0228
2021-06-30,0.0141,0.0081,-0.0,0.0097,0.0044
2021-07-31,0.0015,-0.0021,-0.0016,-0.0319,0.0017
2021-08-31,-0.0047,0.017,-0.0003,-0.0119,-0.0006
2021-09-30,-0.0114,0.0059,0.0007,0.0097,-0.0076
2021-10-31,-0.0016,-0.0124,0.0052,0.0055,0.0056
2021-11-30,-0.0029,0.0055,0.0146,-0.0024,0.0024
2021-12-31,-0.0147,-0.0073,-0.0001,0.0117,-0.0013
2022-01-31,-0.007,-0.0027,-0.0061,0.0037,-0.0134
2022-02-28,0.0076,-0.0054,0.0069,-0.0118,0.0084
2022-03-31,0.001,0.005,-0.01,0.0034,-0.0099
2022-04-30,-0.0085,0.0113,0.0083,0.0011,-0.0078
2022-05-31,0.0005,0.0009,-0.0225,0.0118,0.0018
2022-06-30,0.0062,-0.0105,-0.0308,0.0068,0.0049
2022-07-31,-0.0224,-0.0097,0.0289,0.0009,0.0102
2022-08-31,-0.0145,-0.0212,-0.0001,0.0012,-0.0013
2022-09-30,-0.0085,0.0019,0.0004,-0.0089,0.0073
2022-10-31,-0.026,-0.0217,0.0095,0.0087,0.0016
2022-11-30,-0.0195,-0.0087,-0.0003,-0.0125,-0.0055
2022-12-31,0.002,0.0122,-0.0017,0.0108,-0.0176
2023-01-31,0.0031,-0.0106,0.0057,0.0006,0.0144
2023-02-28,-0.0111,0.0032,0.002,0.0013,-0.001
2023-03-31,-0.0098,-0.0036,0.0043,0.0051,0.0013
2023-04-30,0.0077,0.0054,-0.0055,0.0112,-0.0118
2023-05-31,0.0065,0.002,-0.0141,0.0033,-0.0049
2023-06-30,-0.0062,0.009,-0.0015,-0.0058,0.0003
2023-07-31,0.0089,-0.0061,0.0166,0.0075,-0.0225
2023-08-31,-0.0027,-0.0104,0.0097,-0.0242,0.0246
2023-09-30,0.0082,-0.0033,0.0166,0.0255,0.0077
2023-10-31,0.0125,-0.0034,0.0033,-0.0028,-0.0093
2023-11-30,-0.004,-0.0181,0.0038,-0.0148,0.0009
2023-12-31,0.0023,-0.0029,-0.0009,0.0328,0.0127
2024-01-31,-0.0103,-0.0017,-0.002,-0.008,-0.0141
2024-02-29,0.0059,-0.0105,0.0135,0.0122,0.0132
2024-03-31,-0.0078,0.0015,0.0099,-0.0024,-0.008
2024-04-30,0.0189,-0.0004,0.0097,-0.0057,-0.0121
2024-05-31,-0.0038,-0.0034,-0.0076,0.0026,-0.0165
2024-06-30,-0.0104,0.0052,0.0087,-0.001,-0.0104
2024-07-31,-0.0106,-0.0046,0.0068,0.0093,-0.0049
2024-08-31,-0.0129,0.0024,-0.0082,-0.005,0.0137
2024-09-30,0.0059,0.0019,-0.0131,0.0025,0.0114
2024-10-31,-0.0071,0.0144,0.0122,0.0172,0.0042
2024-11-30,0.0017,0.0156,0.0034,-0.0043,-0.0031
2024-12-31,-0.0025,-0.0109,-0.0029,0.0118,-0.0203
2025-01-31,0.0099,0.0136,-0.0064,0.0063,0.0018
2025-02-28,0.0065,0.0126,-0.0161,0.0068,-0.0001
2025-03-31,-0.0052,-0.0042,0.015,0.0114,-0.0054
2025-04-30,-0.0193,-0.0005,0.0015,0.0034,0.0145
2025-05-31,0.0022,0.0132,0.0001,-0.0129,-0.0
2025-06-30,0.0053,0.0031,0.0016,-0.0023,-0.0085
2025-07-31,-0.006,0.0067,-0.0103,-0.0016,-0.0078
2025-08-31,0.0072,0.0006,0.0106,0.016,0.0005
2025-09-30,-0.0132,-0.0174,-0.0189,-0.0132,0.0148
2025-10-31,-0.001,0.0072,-0.0266,-0.0116,0.0096
2025-11-30,0.0018,0.0016,0.0011,0.0165,-0.0018
2025-12-31,0.0007,0.0047,0.0192,-0.021,0.0068
